y_true,y_pred,prob_class_Bundesliga,prob_class_Bundesliga 2,prob_class_EFL Championship,prob_class_LaLiga,prob_class_LaLiga 2,prob_class_Ligue 1,prob_class_Ligue 2,prob_class_Premier League,prob_class_Serie A,prob_class_Serie B,erreur,pays_true,pays_pred,meme_pays
EFL Championship,Premier League,0.014504245,0.07071706,0.40264308,0.0008741695,0.0003314082,0.0001042947,0.0013938821,0.5089942,0.00040642326,3.1250267e-05,True,Angleterre,Angleterre,True
Serie B,Serie A,0.0029803438,0.0031895817,0.0004285705,0.0039303973,0.010755029,0.0058093243,0.00034480478,0.0014930353,0.80904937,0.1620196,True,Italie,Italie,True
LaLiga 2,Serie A,0.003857084,0.0045346813,0.0057216915,0.02717903,0.042758618,0.005470381,0.00026327057,0.043885026,0.8082271,0.058103044,True,Espagne,Italie,False
Serie B,LaLiga 2,0.00032137445,0.0016967973,0.035560865,0.00033125328,0.8152982,0.0055199694,0.01182079,0.0005173049,0.025515417,0.10341799,True,Italie,Espagne,False
Premier League,EFL Championship,0.002847456,0.0001709158,0.79246557,0.108492345,0.0011932,0.004733323,2.620114e-05,0.0883167,0.0016257003,0.0001285597,True,Angleterre,Angleterre,True
LaLiga,LaLiga 2,0.00079034804,0.00047134553,0.0063206255,0.081009045,0.8683877,0.010233,0.021180356,0.0048616086,0.00034125877,0.0064046616,True,Espagne,Espagne,True
LaLiga 2,LaLiga,0.0018684606,0.014881405,0.004160446,0.6583049,0.24491532,0.002026876,0.065008,0.00040906607,0.00084503874,0.0075804866,True,Espagne,Espagne,True
Ligue 1,Ligue 2,0.00021392743,0.0027196691,0.018151924,0.00039142213,0.0009918098,0.0768992,0.8642057,0.033813566,0.0021955546,0.0004172126,True,France,France,True
Premier League,EFL Championship,0.010730802,0.002772162,0.70880026,0.0012543024,0.00025834894,0.0017726868,0.00035415008,0.2734114,0.000494597,0.00015126594,True,Angleterre,Angleterre,True
EFL Championship,Premier League,5.2858682e-05,0.0004491103,0.015605386,0.00010138752,0.00055264356,0.004951161,0.00068853167,0.9768838,0.00024556887,0.00046949752,True,Angleterre,Angleterre,True
Premier League,EFL Championship,0.00075570337,0.00023089693,0.78423095,0.0012608288,0.00013716507,0.00039752346,0.0001204146,0.21261407,0.00010958659,0.00014287267,True,Angleterre,Angleterre,True
Ligue 1,Ligue 2,0.0003312359,0.0036172944,0.03302353,0.0028657948,0.004078396,0.010027516,0.93200415,0.012982846,0.0002184166,0.00085075444,True,France,France,True
LaLiga 2,EFL Championship,0.00025421914,0.02857024,0.72250354,3.789254e-05,0.07527636,0.00023663852,0.019330652,0.0008439679,0.015097422,0.13784906,True,Espagne,Angleterre,False
Premier League,EFL Championship,4.2589792e-05,0.0010415114,0.7497989,7.7073826e-05,0.00047802387,0.00040115585,0.00022838377,0.24619466,0.00043535422,0.0013024058,True,Angleterre,Angleterre,True
